MovieTitle,ReleaseYear,RunTime,Genres,DirectorName,Rating,Studio,OriginCountry,OriginalLanguage,cast
Serendipity,2001,90 mins   More at IMDb TMDB  Report this page,"Romance, Comedy",Peter Chelsom,3.28 out of 5,Tapestry Films,USA,English,"John Cusack, Kate Beckinsale, Jeremy Piven, Bridget Moynahan, John Corbett, Molly Shannon, Eugene Levy, Lilli Lavine, Michael Guarino, Jr., Abdul Alshawish, Stephen Bruce, David Sparrow, Gary Gerbrandt, Ann Talman, Crystal Bock, Kate Blumberg, Ron Payne, Marcia Bennett, Eve Crawford, Victor A. Young, Leo Fitzpatrick, Evan Neumann, Lucy Gordon, Kevin Rice, Brenda Logan, James Goodwin, John Ellison Conlee, Charles A. Gargano, Arthur Pascuzzi, Mike Benitez, Christopher James Baker, Neil Claxton, Sandra Caldwell, Ajay Mehta, Clark Middleton, Marqus Bobesich, Kevin Kean Murphy, Paul Rutledge, Simon Jutras, Pamela Redfern, Aron Tager, Catherine Kuhn, Buck Henry"
The Happening,2008,90 mins   More at IMDb TMDB  Report this page,"Science Fiction, Horror, Thriller",M. Night Shyamalan,2.11 out of 5,20th Century Fox,USA,English,"Mark Wahlberg, Zooey Deschanel, John Leguizamo, Ashlyn Sanchez, Betty Buckley, Spencer Breslin, Robert Bailey Jr., Frank Collison, Jeremy Strong, Alan Ruck, Victoria Clark, M. Night Shyamalan, Alison Folland, Kristen Connolly, Cornell Womack, Curtis McClarin, Robert Lenzi, Derege Harding, Roberto Lombardi, Kerry O'Malley, Shayna Levine, Stéphane Debac, Cyrille Thouvenin, Babita Hariani, Alicia Taylor, Edward James Hyland, Armand Schultz, Stephen Singer, Sophia Burke, Alex Van Kooy, Charlie Saxton, Kathy Hart, Lisa Furst, Rick Foster, Marc H. Glick, Don Castro, Bill Chemerka, Jann Ellis, Whitney Sugarman, Mary Ellen Driscoll, Greg Wood, Peter Appel, Eoin O'Shea, Michael Quinlan, Lyman Chen, Brian O'Halloran, Megan Grace, Rich Chew, Keith Bullard, Joel de la Fuente, Ashley Brimfield, Mara Hobel, James Breen, Carmen Bitonti, Brian Anthony Wilson, Greg SmithAldridge, Ukee Washington, John Ottavino, Sid Doherty, Wes Heywood, Nancy Sokerka, Julia Yorks, Bill Shusta, Kirk Penberthy, Alex Craft, Allie Habberstad, Alex Harz, Adam Schoon, Lee Squire, Robert Bizik"
3 Idiots,2009,171 mins   More at IMDb TMDB  Report this page,"Drama, Comedy",Rajkumar Hirani,4.12 out of 5,Vidhu Vinod Chopra Productions,India,Hindi,"Aamir Khan, R. Madhavan, Sharman Joshi, Boman Irani, Kareena Kapoor Khan, Omi Vaidya, Rahul Kumar, Parikshat Sahni, Farida Dadi, Amardeep Jha, Mukund Bhatt, Javed Jaffrey, Ali Fazal, Mona Singh, Olivier Lafont, Dushyant Wagh, Atul Tiwari, Achyut Potdar, Arun Bali, Supriya Shukla, Akhil Mishra, Chaitali Bose, Jayant Kripalani, Rajeev Ravindranathan, Shoaib Ahmed"
All We Imagine as Light,2024,118 mins   More at IMDb TMDB  Report this page,"Drama, Romance",Payal Kapadia,3.87 out of 5,petit chaos,India,Malayalam,"Kani Kusruti, Divya Prabha, Chhaya Kadam, Hridhu Haroon, Azees Nedumangad, Tintumol Joseph, Anand Sami, Lovleen Mishra, Madhu Raja, Shweta Prajapati, Ardra K.S., Sisira Anil CK, Aparna Ram, Kashish Singh, Nikhil Mathew, Bipin Nadkarni, Snehalata Siddharth Tagde, Saee Abhay Limaye, Sanjay Balu Ghanekar, Shailaja Shrikant"
Ghost in the Shell,2017,107 mins   More at IMDb TMDB  Report this page,"Drama, Action, Science Fiction",Rupert Sanders,2.61 out of 5,Weying Galaxy Entertainment,China,English,"Scarlett Johansson, Takeshi Kitano, Pilou Asbæk, Michael Pitt, Chin Han, Juliette Binoche, Peter Ferdinando, Rila Fukushima, Daniel Henshall, Yutaka Izumihara, Anamaria Marinca, Kaori Momoi, Lasarus Ratuere, Danusia Samal, Tawanda Manyimo, Mana Hira Davis, Erroll Anderson, Kai Fung Rieck, Andrew Stehlin, Matthias Luafutu, John Luafutu, Kaori Yamamoto, Andrew Morris, Adwoa Aboah, Chris Obi, Makoto Murata, Natarsha Orsman, Joseph Naufahu, Vinnie Bennett, Pete Teo, Xavier Horan, Allan Henry, Bowie Chan Wing-Wai, Kirt Kishita, David Johnson Wood, Kate Venables, Emma Coppersmith, Tanya Drewery, Hannah Tasker-Poland, Jacqueline Lee Geurts, Shinji Ikefuji, Michael Wincott, Tricky, Philippe Joly, Yasushi Asaya, Jack Machiela"
The Last Voyage of the Demeter,2023,119 mins   More at IMDb TMDB  Report this page,"Fantasy, Horror",André Øvredal,2.62 out of 5,Phoenix Pictures,Germany,English,"Corey Hawkins, Aisling Franciosi, David Dastmalchian, Javier Botet, Liam Cunningham, Chris Walley, Jon Jon Briones, Stefan Kapičić, Martin Furulund, Nikolai Nikolaeff, Woody Norman, Graham Turner, Andy Murray, Nicolo Pasetti, Christopher York, Vladimir Cabak, Rudolf Danielewicz, Noureddine Farihi, Malcolm Galea, Adam Shaw, Jack Doggart, Joe Depasquale, Sally Reeve"
Tinker Bell,2008,78 mins   More at IMDb TMDB  Report this page,"Family, Animation, Adventure, Fantasy",Bradley Raymond,3.43 out of 5,DisneyToon Studios,India,English,"Mae Whitman, Kristin Chenoweth, Raven-Symoné, Lucy Liu, America Ferrera, Jane Horrocks, Jesse McCartney, Rob Paulsen, Jeff Bennett, Pamela Adlon, Anjelica Huston, Loreena McKennitt, Steve Valentine, Kathy Najimy, Richard Portnow, Gail Borges, America Young, Kat Cressida, Bob Bergen, Christian Traeumer"
The BFG,2016,117 mins   More at IMDb TMDB  Report this page,"Fantasy, Family, Adventure",Steven Spielberg,2.74 out of 5,Walt Disney Pictures,India,English,"Mark Rylance, Ruby Barnhill, Rebecca Hall, Jemaine Clement, Bill Hader, Penelope Wilton, Marilyn Norry, Chris Shields, Matt Frewer, Geoffrey Wade, Rafe Spall, Haig Sutherland, John Emmet Tracy, Adam Godley, Daniel Bacon, Paul Moniz de Sa, Ólafur Darri Ólafsson, Michael Adamthwaite, Gabrielle Rose, Lucia Ryan, Julia Torrance, Graham Curry, Jonathan Holmes, Chris Gibbs, Callum Seagram Airlie, Shauna Hansen, Denise Jones, William Samples, Andy Thompson, Paul Barnhill, Gintare Beinoraviciute, Gerardo Barcala, Simona Hughes"
Pather Panchali,1955,125 mins   More at IMDb TMDB  Report this page,"Drama, History",Satyajit Ray,4.32 out of 5,Government of West Bengal,India,"Bengali, Bangla","Kanu Bannerjee, Karuna Banerjee, Chunibala Devi, Uma Das Gupta, Subir Banerjee, Runki Banerjee, Reba Devi, Aparna Devi, Tulsi Chakraborty, Haren Banerjee, Rampada Das, Nibhanani Devi, Rama Gangopadhaya, Roma Ganguli, Binoy Mukherjee, Haridhan Nag, Harimohan Nag, Kshirod Roy, Suren Roy"
War Horse,2011,146 mins   More at IMDb TMDB  Report this page,"War, Adventure, History",Steven Spielberg,3.37 out of 5,DreamWorks Pictures,India,English,"Jeremy Irvine, Peter Mullan, Emily Watson, Niels Arestrup, David Thewlis, Tom Hiddleston, Benedict Cumberbatch, Celine Buckens, Toby Kebbell, Patrick Kennedy, Leonard Carow, David Kross, Matt Milne, Robert Emms, Eddie Marsan, Nicolas Bro, Rainer Bock, Hinnerk Schönemann, Gary Lydon, Geoff Bell, Liam Cunningham, Sebastian Hülk, Gerard McSorley, Tony Pitts, Irfan Hussein, Pip Torrens, Philippe Nahon, Jean-Claude Lecas, Justin Brett, Seamus O'Neill, Pat Laffan, Michael Ryan, Peter McNeil O'Connor, Trystan Pütter, Gunnar Cauthery, Julian Wadham, Anian Zollner, Michael Kranz, Hannes Wegener, David Dencik, Edward Bennett, Johnny Harris, Philip Hill-Pearson, Tam Dean Burn, Alan Williams, Thomas Arnold, Maximilian Brückner, Markus Tomczyk, Peter Benedict, Callum Armstrong, Roy Holder, Paul Alexander, Maggie Ollerenshaw, Beth Ogden, Martin Dew, Michael Morpurgo, Finder's Key"
A Dog's Purpose,2017,100 mins   More at IMDb TMDB  Report this page,"Drama, Adventure, Comedy, Fantasy, Family",Lasse Hallström,3.51 out of 5,Amblin Entertainment,India,English,"Josh Gad, K.J. Apa, Britt Robertson, Dennis Quaid, Peggy Lipton, Juliet Rylance, Luke Kirby, John Ortiz, Kirby Howell-Baptiste, Pooch Hall, Logan Miller, Gabrielle Rose, Caroline Cave, Nicole LaPlaca, Michael Patric, Michael Bofshever, Primo Allon, Kalyn Bomback, Peter Kelamis, Jane McGregor, Kelly-Ruth Mercier, Kwesi Ameyaw, Paul Jarrett, Anita Daher, Alicia Johnston, Naomi Frenette, Brooke Warrington, Bryce Gheisar, Robert Mann, Ron Verwymeren, David J. Lyle, Cory Wojcik, Ross Douglas Noble, Andrew W. Nolan, Jordan Butterill, John C. MacDonald, Brent Holtzman, Christopher Pearce, Violet Haas, Darcy Higginbotham, Danesha Lee, Dan De Jaeger, Reine Lecuyer, Rayna Ens-Armstrong, Mackenzie Thornton, Avery Thompson, Aidan Ritchie, Kenyan Alexander Walcot, Treyton Augustus Walcot, John Bluethner, James Janssens, Paul Griggs, Grant Burr, Ronald Boyd Johnson, Chris Webb, Evan Martin, Tyson Wagner, Dean Mckenzie, Tom Young"
Secret of the Wings,2012,75 mins   More at IMDb TMDB  Report this page,"Family, Animation, Fantasy, Adventure",Peggy Holmes,3.66 out of 5,DisneyToon Studios,India,English,"Mae Whitman, Lucy Hale, Timothy Dalton, Jeff Bennett, Lucy Liu, Raven-Symoné, Megan Hilty, Pamela Adlon, Angela Bartys, Matt Lanter, Debby Ryan, Grey DeLisle, Rob Paulsen, Anjelica Huston, Jane Horrocks, Jodi Benson, Kari Wahlgren, Thomas Lennon, Ben Diskin, Jesse McCartney, Kathy Najimy, John DiMaggio, Steve Valentine, Dee Bradley Baker"
Cowboys & Aliens,2011,119 mins   More at IMDb TMDB  Report this page,"Action, Western, Science Fiction, Thriller",Jon Favreau,2.34 out of 5,DreamWorks Pictures,India,English,"Daniel Craig, Harrison Ford, Olivia Wilde, Sam Rockwell, Adam Beach, Paul Dano, Noah Ringer, Keith Carradine, Clancy Brown, Walton Goggins, Abigail Spencer, Ana de la Reguera, Raoul Max Trujillo, David O'Hara, Buck Taylor, Matthew Taylor, Cooper Taylor, Chris Browning, Brian Duffy, Brendan Wayne, Gavin Grazer, Toby Huss, Wyatt Russell, Jimmy Jatho, Kenny Call, Julio Cesar Cedillo, Garret Noël, Troy Gilbert, Chad Randall, Scout Hendrickson, David Midthunder, Mo Brings Plenty, Phillip Pike, Calum Blaylock, Paul Ortega, Nathaniel Chee, Robyn Simmons, Simon Choneska, David Chee, Vonda Tso, Lariat Geronimo, Freddie Apache, Oliver Enjady, Hoyle Osborne, Rex Rideout"
Fright Night,2011,106 mins   More at IMDb TMDB  Report this page,"Comedy, Horror",Craig Gillespie,2.99 out of 5,Gaeta / Rosenzweig Films,India,English,"Anton Yelchin, Colin Farrell, Toni Collette, David Tennant, Imogen Poots, Christopher Mintz-Plasse, Dave Franco, Reid Ewing, Will Denton, Sandra Vergara, Emily Montague, Chris Sarandon, Gracie Gillam, Chelsea Tavares, Lisa Loeb, Brian Huskey, Mike Miller, Marya Beauvais, Kent Kirkpatrick, Arron Shiver, Rick A. Ortega Jr., Charlie B. Brown, Rebekah Wiggins, Eb Lottimer, Liezl Carstens, Laura Aidan, Alma Sisneros, Bruce Holmes, Chris Ranney, Lovie Johnson, Jerry G. Angelo, Tait Fletcher, Kevin Christopher Brown, Jesse Pickett, William H. Burton Jr., Bonnie Morgan, Michelle Waterson-Gomez, Paula Francis, Dave Courvoisier, Dee Bradley Baker"
Gandhi,1982,191 mins   More at IMDb TMDB  Report this page,"Drama, History",Richard Attenborough,3.74 out of 5,Goldcrest,India,English,"Ben Kingsley, Candice Bergen, Edward Fox, John Gielgud, Trevor Howard, John Mills, Rohini Hattangadi, Martin Sheen, Ian Charleson, Harsh Nayyar, Athol Fugard, Günther Maria Halmer, Saeed Jaffrey, Geraldine James, Alyque Padamsee, Amrish Puri, Roshan Seth, Ian Bannen, Michael Bryant, John Clements, Richard Griffiths, Nigel Hawthorne, Bernard Hepton, Michael Hordern, Shreeram Lagoo, Virendra Razdan, Richard Vernon, Prabhakar Patankar, Vijay Kashyap, Nigam Prakash, Supriya Pathak, Neena Gupta, Shane Rimmer, Peter Harlowe, Anang Desai, Winston Ntshona, Peter Cartwright, Marius Weyers, Richard Mayes, Alok Nath, Dean Gasper, Ken Hutchison, Norman Chancer, Gulshan Kapoor, Charu Bala Chokshi, Raj Chaturvedi, Avpar Jhita, Anthony Sagger, Om Puri, David Gant, Daniel Day-Lewis, Ray Burdis, Daniel Peacock, Avis Bunnage, Caroline Hutchison, Mohan Agashe, Sudhanshu Mishra, Dina Nath, John Savident, John Patrick, Michael Godley, Stewart Harwood, Stanley McGeagh, Christopher Good, David Markham, Jyoti Sarup, John Naylor, Wilson George, Hanshu Mehta, Sudarshan Sethi, Sunila Pradhan, Moti Makan, Jalal Agha, Rupert Frazer, Manohar Pitale, Homi Daruvala, K.K. Raina, Vivek Swaroop, Raja Biswas, Dominic Guard, Bernard Hill, Rama Kant Jha, Nana Palsikar, Alpna Gupta, Chandrakant Thakkar, John Quentin, Graham Seed, Keith Drinkel, Bob Barbenia, Gerald Sim, Colin Farrell, Sanjeev Puri, Gareth Forwood, Vijay Crishna, Sankalp Dubey, James Cossins, Gurcharan Singh, John Vine, Geoffrey Chater, Ernest Clark, Habib Tanvir, Pankaj Mohan, Subhash Gupta, Aadil, Rajeshwar Nath, S.S. Thakur, Rahul Gupta, Barry John, Brian Oulton, James Snell, John Boxer, Gerard Norman, Bernard Horsfall, Richard Leech, Pankaj Kapur, Tarla Mehta, David Sibley, Dalip Tahil, Stanley Lebor, Terrence Hardiman, Monica Gupta, Jon Croft, William Hoyland, John Ratzenberger, Jack McKenzie, Tom Alter, Jane Myerson, Roop Kumar Razdan, Bani Sharad Joshi, Vagish Kumar Singh, Dilsher Singh, Sudhir Dalvi, Tilak Raj, Irpinder Puri, Pren Kapoor, Vinay Apte, Aswini Kumar, Avinash Dogra, Shreedhar Joshi, Suhas Palshikar, Karkirat Singh, Shekhar Chattopadhyay, Amarjeet, Pratap Desai, Bhatawadekar Prakash, Sunil Shende, Rovil Sinha, Derek Lyons, Fred Wood, Nassar Abdulla, Gito Santana, Ben Kingsley’s, John Ratzenberger, Martin Sheen"
